mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
event_gated_duj,10,5000,1000,0,0.0,1.1332601565610343,0.34438380508992866,35159.0,998,565.0628820003476,0.004
event_gated_duj,11,5000,1000,0,0.0,1.2822176150940185,0.34699469818694306,35241.0,998,565.1368669932708,0.004
event_gated_duj,12,5000,1000,0,0.0,1.2089676739483934,0.3410048151179177,34993.0,997,564.4045350054512,0.0032
event_gated_duj,13,5000,1000,0,0.0,0.8749833282708002,0.3404253972757825,35639.0,998,565.0966099929065,0.0024
event_gated_duj,14,5000,1000,0,0.0,1.3289242224974382,0.3431029012650723,35273.0,997,565.1747539959615,0.0044
event_gated_duj,15,5000,1000,0,0.0,1.31841156541876,0.3453775301815829,34888.0,998,565.2237799949944,0.0042
event_gated_duj,16,5000,1000,0,0.0,0.9397321111389872,0.3461770424890186,34603.0,997,564.7503949876409,0.0024
event_gated_duj,17,5000,1000,0,0.0,1.4218271384211085,0.3439668289863541,34846.0,998,565.496199997142,0.0028
event_gated_duj,18,5000,1000,0,0.0,1.2594655328960258,0.34625940926493615,35085.0,998,565.4115900106262,0.004
event_gated_duj,19,5000,1000,0,0.0,1.2489699149783484,0.34320113289591364,35464.0,997,565.4255410045153,0.0028
event_gated_duj,20,5000,1000,0,0.0,1.2614410510604048,0.34592601654535826,35247.0,998,565.0337260012748,0.0028
event_gated_duj,21,5000,1000,0,0.0,1.1553367461023036,0.34774374267708397,34968.0,998,564.6390320034698,0.0042
event_gated_duj,22,5000,1000,0,0.0,1.6410346268440947,0.3458616166252345,34846.0,997,563.7818649993278,0.0076
event_gated_duj,23,5000,1000,0,0.0,0.9989681852015466,0.34452851418081154,34977.0,998,565.0515500019537,0.0028
event_gated_duj,24,5000,1000,0,0.0,0.955612793939934,0.34629193561866506,34959.0,998,564.6302310051396,0.004
event_gated_duj,25,5000,1000,0,0.0,1.4598846774641823,0.3432062742681499,35431.0,998,564.9292749876622,0.0062
event_gated_duj,26,5000,1000,0,0.0,1.1187901599738264,0.3377165224522885,35169.0,998,564.230479998514,0.0022
event_gated_duj,27,5000,1000,0,0.0,1.257645365111378,0.3411830866279302,35125.0,998,564.8093369964045,0.0026
event_gated_duj,28,5000,1000,0,0.0,1.069737599708731,0.34478185994635063,34914.0,997,564.8969860048965,0.0032
event_gated_duj,29,5000,1000,0,0.0,1.347209229613631,0.34529603027848,35641.0,998,564.7413990081986,0.0076
event_gated_duj,30,5000,1000,0,0.0,1.5656477574842935,0.3450214995604645,35171.0,998,564.4171369931428,0.0064
event_gated_duj,31,5000,1000,0,0.0,1.1231836446000947,0.33972628825628315,34901.0,998,564.307631997508,0.0028
event_gated_duj,32,5000,1000,0,0.0,1.3847850753163433,0.3369609146588191,35113.0,998,564.3689129938139,0.0028
event_gated_duj,33,5000,1000,0,0.0,1.1790104066489808,0.3441544596453231,35105.0,998,564.8400240024785,0.0032
event_gated_duj,34,5000,1000,0,0.0,1.088602418071936,0.3382547649464238,35304.0,998,564.7187420108821,0.0046
event_gated_duj,35,5000,1000,0,0.0,1.1615906075079712,0.34533429370375596,35574.0,998,565.4154250078136,0.0026
event_gated_duj,36,5000,1000,0,0.0,1.1402127258884829,0.3427151649681104,35202.0,998,564.4934570009355,0.0046
event_gated_duj,37,5000,1000,0,0.0,1.0688358312346866,0.3459999852166451,35492.0,998,564.1666349984007,0.0028
event_gated_duj,38,5000,1000,0,0.0,1.2382547735420588,0.3409761008112798,35255.0,998,563.9109830080997,0.004
event_gated_duj,39,5000,1000,0,0.0,0.9876732022359958,0.3398763763529731,34703.0,998,564.6557310101343,0.003
event_gated_duj,40,5000,1000,0,0.0,1.234031653594855,0.3389410574452353,34944.0,998,563.4795829973882,0.0054
event_gated_duj,41,5000,1000,0,0.0,1.4344674868836131,0.3416340124470489,35253.0,997,564.3766209977912,0.0074
event_gated_duj,42,5000,1000,0,0.0,1.187428049612026,0.3438674043959828,35034.0,997,564.0897369885352,0.008
event_gated_duj,43,5000,1000,0,0.0,0.9291795225196728,0.3465555408978198,34880.0,998,564.7561799996765,0.004
event_gated_duj,44,5000,1000,0,0.0,1.337254689377993,0.34715429204070464,35121.0,998,565.316188003635,0.0078
event_gated_duj,45,5000,1000,0,0.0,0.9453981808332195,0.3464986555536606,34977.0,998,564.3440120038576,0.0028
event_gated_duj,46,5000,1000,0,0.0,1.0458460152937825,0.3432493271329851,35266.0,998,564.4381889869692,0.0026
event_gated_duj,47,5000,1000,0,0.0,1.1151590697514089,0.3436611684032945,35155.0,998,564.9259729980258,0.0032
event_gated_duj,48,5000,1000,0,0.0,1.244071706458667,0.3466170971286003,34947.0,997,563.8905320083722,0.0034
event_gated_duj,49,5000,1000,0,0.0,0.9957741302612465,0.3421911568479235,34928.0,998,564.6850089979125,0.0032
